name	created	released	status	source	title
05MADRID1924	2005	2010	CONFIDENTIAL	Embassy Madrid	SPANISH FIRM SEEKS BUSINESS WITH LIBYA
08MOSCOW2273	2008	2011	CONFIDENTIAL	Embassy Moscow	x
06PARIS5975	2006	2010	CONFIDENTIAL	Embassy Paris	INTERIOR MINISTER SARKOZY ON EVE OF HIS TRIP TO 
09TRIPOLI17	2009	2011	CONFIDENTIAL	Embassy Tripoli	AL-QADHAFI SUGGESTS LIBYAN ELECTIONS MAY BE IN THE OFFING 
10STATE17894	2010	2010	SECRET	Secretary of State	DEMARCHE: CONTINUED CONCERN OVER SYRIAN SUPPORT 
08SAOPAULO423	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Consulate Sao Paulo	DOHA, ETHANOL, AND THE WTO: WILL BRAZIL FIGHT? 
07PARIS921	2007	2010	CONFIDENTIAL	Embassy Paris	FRENCH FOREIGN POLICY UNDER NICOLAS SARKOZY OR 
08TRIPOLI374	2008	2011	SECRET//NOFORN	Embassy Tripoli	LIBYA'S NSC SOLICITS U.S. VIEWS ON CIVILIAN NUCLEAR COOPERATION & LETHAL MILITARY EQUIPMENT SALES REF: A) TRIPOLI 340, B) TRIPOLI 372
06REYKJAVIK405	2006	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELAND FOLLOWING NORDIC LEAD ON INDIGENOUS PEOPLES 
07RIYADH2441	2007	2011	CONFIDENTIAL	Embassy Riyadh	x
09REYKJAVIK51	2009	2011	UNCLASSIFIED	Embassy Reykjavik	EMBASSY REYKJAVIK SCIENCE FELLOW REQUEST 2009 
06BRASILIA888	2006	2010	CONFIDENTIAL	Embassy Brasilia	BRAZILIAN FOREIGN MINISTRY SAYS "NO CRISIS YET" WITH BOLIVIA, BUT TWO POTENTIAL FLASHPOINTS ARE BREWING 
08BRASILIA526	2008	2011	SECRET	Embassy Brasilia	IRANIAN DIPLOMACY MOVES INTO HIGH GEAR, PART 2 
08TRIPOLI467	2008	2011	UNCLASSIFIED	Embassy Tripoli	DEVELOPMENTS IN CASE OF IDRISS BOUFAYED AND FELLOW REGIME 
08TRIPOLI567	2008	2011	CONFIDENTIAL	Embassy Tripoli	THE EU-LIBYA FRAMEWORK AGREEMENT: VENI, VISAS, VETO 
10TRIPOLI133	2010	2011	CONFIDENTIAL	Embassy Tripoli	LIBYA SEEKS U.S. COOPERATION ON ASTRONOMY, SEISMOLOGY AND SATELLITES TRIPOLI 00000133 001.2 OF 002 CLASSIFIED BY: Gene Cretz, Ambassador, U.S. Embassy Tripoli, U.S. Department of State. REASON: 1.4 (b), (d)
08RIODEJANEIRO91	2008	2010	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Consulate Rio De Janeiro	BRAZIL'S CHIEF PETROLEUM REGULATOR INADVERTANTLY CONFIRMS RUMORS OF MEGA OIL FIELD IN SANTOS BASIN REF: 
09BRASILIA1360	2009	2010	CONFIDENTIAL	Embassy Brasilia	x
09ANKARA1676	2009	2011	CONFIDENTIAL	Embassy Ankara	SUPPORT TO NEW KARZAI GOVERMENT REF: A. STATE 118297 B. ANKARA 1661 Classified By: DCM Doug Silliman for reasons 1.4 (b,d)
09THEHAGUE444	2009	2011	SECRET//NOFORN	Embassy The Hague	NETHERLANDS: DUTCH CONCERNS ABOUT ROTOR BLADE
10MEXICO640	2010	2011	UNCLASSIFIED	Embassy Mexico	S/GWI Project Proposal
09BAKU744	2009	2010	CONFIDENTIAL	Embassy Baku	"LORDS OF THE MOUNTAINS" WILL FIGHT NO MORE FOREVER  
10ASTANA251	2010	2010	SECRET	Embassy Astana	KAZAKHSTAN: SCENESETTER FOR CENTCOM COMMANDER 
10CAIRO262	2010	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Cairo	Tourism is the "driving force" in the Egyptian Economy 
09REYKJAVIK121	2009	2011	CONFIDENTIAL	Embassy Reykjavik	U.S.-Iceland Security Dialogue: Icelandic Defense Policy 
06TEGUCIGALPA526	2006	2011	CONFIDENTIAL	Embassy Tegucigalpa	ZELAYA ADMINISTRATION'S FIRST 45 DAYS - PRO-U.S.
08RABAT1169	2008	2010	CONFIDENTIAL	Embassy Rabat	AL ADL WA IHSAN: MOROCCO'S ISLAMIST DISSIDENTS
09KABUL3324	2009	2010	SECRET	Embassy Kabul	FOLLOW-UP REQUEST -- RESOURCING EFFORTS TO DISMANTLE THE NEW
08REYKJAVIK219	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELANDIC GOVT TAKES CONTROL OF BANKING SECTOR AMID CRISIS 
09RIYADH1415	2009	2010	CONFIDENTIAL	Embassy Riyadh	PAKISTANI AMBASSADOR ON MILITARY OPERATIONS IN 
09TRIPOLI756	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Tripoli	DEMARCHE DELIVERED: UNGA GOALS AND OBJECTIVES REF: STATE 90254 (SBU) 
10BERLIN138	2010	2011	CONFIDENTIAL	Embassy Berlin	MAXIMIZING GERMANY'S CONTRIBUTION TO THE TRAINING 
09TRIPOLI133	2009	2011	CONFIDENTIAL	Embassy Tripoli	THROUGH A GLASS, DARKLY: GOL REACHES OUT TO THE NEW 
08LONDON2243	2008	2011	CONFIDENTIAL//NOFORN	Embassy London	PAKISTAN: UK ASSESSMENT AND MEDIUM-TERM THINKING, SUPPORT FOR FRIENDS OF PAKISTAN GROUP REF: LONDON 2143 Classified By: Political Counselor Richard Mills, reasons 1.4 (b/d).
04MADRID4063	2004	2010	CONFIDENTIAL	Embassy Madrid	DEPUTY FOREIGN MINISTER REGRETS UNHELPFUL MOD
07REYKJAVIK76	2007	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	Demarche on Global Initiative to Combat Nuclear Terrorism 
08BAGHDAD293	2008	2010	CONFIDENTIAL	Embassy Baghdad	BLUEBLOOD SHIA CLERIC COMMENTS ON "BACKWARD" 
08REYKJAVIK242	2008	2011	CONFIDENTIAL	Embassy Reykjavik	ICELANDIC ECONOMIC CRISIS: RUSSIAN LOAN STILL ON TABLE, IMF 
09LONDON2509	2009	2011	CONFIDENTIAL//NOFORN	Embassy London	TORIES ABANDON EU REFERENDUM, BUT CRY "NEVER AGAIN" 
09TRIPOLI110	2009	2011	CONFIDENTIAL	Embassy Tripoli	SENIOR MFA ADVISER OBEIDI ON BILATERAL RELATIONSHIP, 
04MADRID2164	2004	2010	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Madrid	AMBASSADOR'S VISIT TO SEVILLE, SOCIALIST HEARTLAND
10NEWDELHI355	2010	2010	CONFIDENTIAL	Embassy New Delhi	NSA MENON DISCUSSES REGIONAL SECURITY AND TRADE 
09TRIPOLI65	2009	2011	CONFIDENTIAL//NOFORN	Embassy Tripoli	PAN AM BOMBER AL-MEGRAHI: THE VIEW FROM TRIPOLI 
10KABUL467	2010	2010	CONFIDENTIAL	Embassy Kabul	POWERBROKER AND GOVERNANCE ISSUES IN SPIN BOLDAK
09REYKJAVIK50	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	NINTH ANNUAL ANTI-TRAFFICKING IN PERSONS (TIP) REPORT FOR 
06HAVANA8986	2006	2011	CONFIDENTIAL	US Interests Section Havana	(CUBA IS) A STATE ON THE TAKE 
09MADRID1121	2009	2010	CONFIDENTIAL	Embassy Madrid	SPAIN/CUBA: TITLE III OF THE LIBERTAD ACT
08HAVANA66	2008	2010	CONFIDENTIAL	US Interests Section Havana	COMSEC DISCUSSES FREEDOM AND DEMOCRACY WITH CUBAN 
08REYKJAVIK110	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELAND IWC COMMISSIONER PESSIMISTIC ON PROGRESS IN 
09BRASILIA1439	2009	2010	CONFIDENTIAL	Embassy Brasilia	2016 Rio Olympics - The Future is Now 
06RABAT557	2006	2010	CONFIDENTIAL	Embassy Rabat	SPANISH AMBASSADOR ON WESTERN SAHARA, MIGRATION,
08THEHAGUE225	2008	2011	SECRET	Embassy The Hague	NETHERLANDS/IRAN: NO OBJECTIONS TO DUTCH FIRM INCO 
09LONDON1064	2009	2010	CONFIDENTIAL//NOFORN	Embassy London	UK POLITICAL SNAPSHOT: A ?RESILIENT? GORDON BROWN 
08LONDON2525	2008	2011	CONFIDENTIAL//NOFORN	Embassy London	x
09STATE81957	2009	2010	SECRET	Secretary of State	REPORT OF U.S.- RUSSIA MANPADS EXPERTS MEETING
08TRIPOLI588	2008	2011	CONFIDENTIAL	Embassy Tripoli	LIBYA ENFORCES TRAVEL RESTRICTIONS AGAINST U.S. OFFICIALS  REF: A) TRIPOLI 530, B) TRIPOLI 412, C) STATE 55839, D) TRIPOLI 478 (NOTAL), E) 07 TRIPOLI 165, F) TRIPOLI 515  
09BRASILIA193	2009	2011	CONFIDENTIAL	Embassy Brasilia	UKRAINE REQUESTS USG SUPPORT FOR UKRAINIAN-BRAZILIAN SPACE LAUNCH JOINT VENTURE AT ALCANTARA 
09ABUJA203	2009	2011	SECRET//NOFORN	Embassy Abuja	NIGERIA: UPDATED HEALTH INFORMATION ON PRESIDENT
08CAIRO57	2008	2010	SECRET//NOFORN	Embassy Cairo	MUBARAK DISCUSSES BACK SURGERY, GAMAL AS 
04THEHAGUE1049	2004	2011	CONFIDENTIAL	Embassy The Hague	NETHER...
00HARARE6677	2000	2010	CONFIDENTIAL	Embassy Harare	ASSISTANT SECRETARY MEETS WITH ZIMBABWE 
10TEGUCIGALPA65	2010	2011	SECRET	Embassy Tegucigalpa	AMBASSADOR'S DISCUSSIONS WITH PRESIDENT ELECT
09CARACAS750	2009	2010	CONFIDENTIAL	Embassy Caracas	TEN TENETS OF CHAVISMO
09BUENOSAIRES988	2009	2011	CONFIDENTIAL	Embassy Buenos Aires	ARGENTINA'S CORDOBA GOVERNOR ON THE KIRCHNERS,
08KYIV2173	2008	2010	CONFIDENTIAL	Embassy Kyiv	UKRAINE: TOO EARLY TO WRITE OFF ROSUKRENERGO (RUE) 
08PANAMA820	2008	2010	CONFIDENTIAL	Embassy Panama	CANAL BIDDING PROCESS DELAYED AGAIN
04BOGOTA8900	2004	2010	SECRET//NOFORN	Embassy Bogota	US HOSTAGE STATUS: 18 MONTHS IN FARC CAPTIVITY 
08LONDON2384	2008	2011	CONFIDENTIAL	Embassy London	READOUT OF DEPUTY SECRETARY KUPFER MEETINGS WITH JOHN HUTTON AND JONATHAN PORTES ON ENERGY SECURITY AND LONDON SUMMIT
09PARIS933	2009	2010	CONFIDENTIAL//NOFORN	Embassy Paris	FRANCE OPEN TO EXAMINING SIX NEW GUANTANAMO 
08LONDON1352	2008	2011	SECRET//NOFORN	Embassy London	IRANIAN BANKING IN LONDON: UK PLANS AND CONCERNS 
10SHENYANG5	2010	2010	SECRET	Consulate Shenyang	FURTHER INSIGHTS ON PRC-DPRK TRADE: DECISIONS, DISPUTES, AND 
08TRIPOLI895	2008	2011	UNCLASSIFIED	Embassy Tripoli	LIBYA: INTERIM TIP ASSESSMENT 
10REYKJAVIK9	2010	2011	UNCLASSIFIED	Embassy Reykjavik	PARLIAMENT PASSES LEGISLATION FOR REFERENDUM ON ICESAVE 
09MOSCOW1108	2009	2010	CONFIDENTIAL	Embassy Moscow	WAITING AND WATCHING: NORTH KOREA AFTER CURRENCY 
07PARIS4722	2007	2010	SECRET	Embassy Paris	XXXXXXXXXXXX DESCRIBES CAUTIOUS, 
09STATE120288	2009	2010	CONFIDENTIAL	Secretary of State	U.S. POSTURE ON IRAN'S NUCLEAR PROGRAM AND NEXT 
04MADRID961	2004	2010	CONFIDENTIAL	Embassy Madrid	WHO ARE THE SPANISH SOCIALISTS?
09TRIPOLI302	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Tripoli	LIBYA WILL SUPPORT PRST ON NORTH KOREA 
09HARARE955	2009	2010	CONFIDENTIAL	Embassy Harare	AMBASSADOR PRESENTS CREDENTIALS TO MUGABE 
08SAOPAULO650	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Consulate Sao Paulo	DIFFERING BRAZILIAN VOICES ON U.S. ETHANOL POLICY AT BIOFUELS CONFERENCE 
08TRIPOLI993	2008	2011	CONFIDENTIAL	Embassy Tripoli	QADHAFI DEVELOPMENT FOUNDATION RESUMES DIALOGUE ON RELEASE 
08LONDON2833	2008	2011	CONFIDENTIAL	Embassy London	CTF-150/SOMALIA: OUTBRIEF FROM CANADIAN SHIP 
08KABUL297	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Kabul	UPDATE: NUCLEAR SMUGGLING INCIDENT AT KABUL, 
10BAKU134	2010	2011	CONFIDENTIAL	Embassy Baku	AZERBAIJANI PRESIDENT TO U/S BURNS:  "YOU CAN'T 
10STATE7810	2010	2010	SECRET	Secretary of State	EXPANSION OF EAGLE GUARDIAN TO INCLUDE BALTIC 
10ALGIERS39	2010	2010	SECRET//NOFORN	Embassy Algiers	ALGERIAN FM: TSA LISTING ?INTOLERABLE, 
09JEDDAH443	2009	2010	CONFIDENTIAL	Consulate Jeddah	UNDERGROUND PARTY SCENE IN JEDDAH: SAUDI YOUTH 
08SCTION02OF02SAOPAULO335	2008	2011	CONFIDENTIAL	Consulate Sao Paulo	AMBASSADOR DISCUSSES BRAZILIAN OIL CONCESSION MODEL WITH DELFIM NETTO 
08LONDON2005	2008	2011	CONFIDENTIAL//NOFORN	Embassy London	IRAN: TAJIK EXTRADITION - FURTHER DELAYS AND 
09STATE108736	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Secretary of State	EGYPT LEAHY VETTING RESPONSE - 99209 THRU 99249 - 
08KAMPALA266	2008	2011	UNCLASSIFIED	Embassy Kampala	NUCLEAR SMUGGLING INCIDENT/PORTAL DETECTION IN KAMPALA- FEBRUARY 12, 2008 REF: SECSTATE 162091
09BERLIN978	2009	2010	CONFIDENTIAL	Embassy Berlin	GERMANY REASSURES THE BALTS TO INCREASE MANEUVER 
09STATE113517	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Secretary of State	EGYPT LEAHY VETTING RESPONSE - 99295 THRU 99298 
04BRASILIA1748	2004	2010	CONFIDENTIAL	Embassy Brasilia	BRAZIL: PURSUIT OF ARTICLE 98 AGREEMENT 
06LAPAZ417	2006	2010	CONFIDENTIAL	Embassy La Paz	MINISTER OF PRESIDENCY ON COCA, ERADICATION, AND 
06REYKJAVIK63	2006	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELAND JOINS EU IN CONDEMNATION OF IRAQ 
10WARSAW94	2010	2010	CONFIDENTIAL	Embassy Warsaw	U/S TAUSCHER MEETS FM SIKORSKI, MOD KLICH 
10LAPAZ35	2010	2010	CONFIDENTIAL	Embassy La Paz	BOLIVIAN PROSECUTOR TIES TERROR CASE TO CIA
06BRASILIA1089	2006	2011	UNCLASSIFIED	Embassy Brasilia	BRAZIL TO PRODUCE PAPER ON TECHNICAL BILATERAL COLLABORATION ON ETHANOL/BIOFUELS; FRANCE AND JAPAN ANNOUNCE AGREEMENTS 
06LAPAZ2657	2006	2010	CONFIDENTIAL	Embassy La Paz	MORALES: WALKING A FINE LINE ON DRUGS 
06HAMBURG85	2006	2010	CONFIDENTIAL	Consulate Hamburg	HAMBURG POLICE TRACK POLONIUM TRAIL 
09EFTOLONDON2468	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy London	TAMIL EXPATRIATES CALL FOR RESETTLEMENT OF IDPS 
09GUATEMALA917	2009	2010	CONFIDENTIAL	Embassy Guatemala	First Lady Prepares Controversial Bid for Presidency 
08TRIPOLI214	2008	2011	CONFIDENTIAL	Embassy Tripoli	GOL STILL BRISTLING OVER VICTIMS OF TERRORISM LEGISLATION, UTA JUDGMENT REF: A) TRIPOLI 199, B) TRIPOLI 149 (EXDIS) TRIPOLI 00000214 001.2 OF 002 
09ANKARA1654	2009	2010	SECRET	Embassy Ankara	TURKEY: A/S GORDON PRESSES FM DAVUTOGLU ON IRAN 
08TRIPOLI992	2008	2011	SECRET	Embassy Tripoli	LIBYA INTERESTED IN U.S. WEAPONS, MORE AMBIVALENT ON OTHER MILITARY COOPERATION  
09TRIPOLI686	2009	2011	CONFIDENTIAL//NOFORN	Embassy Tripoli	QADHAFI PERSONALLY WELCOMES LOCKERBIE BOMBER 
09KABUL1892	2009	2010	SECRET//NOFORN	Embassy Kabul	KARZAI DIALOGUE ON U.S.-AFGHAN RELATIONS CONTINUES
09TRIPOLI910	2009	2011	SECRET//NOFORN	Embassy Tripoli	SWISS IN LIBYA: CHARGE REQUESTS EU, US PRESENCE AT COURT HEARING REF: A) TRIPOLI 901; B) STATE 117546; C) TRIPOLI 832 TRIPOLI 00000910 001.2 OF 002 CLASSIFIED BY: Gene A. Cretz, Ambassador, U.S. Embassy Tripoli, Department of State. REASON: 1.4 (b), (d)
10ASHGABAT5	2010	2010	CONFIDENTIAL	Embassy Ashgabat	TURKMENISTAN: BOUYGUES' SHIP IN THE INTERNATIONAL 
09MOSCOW2734	2009	2010	CONFIDENTIAL	Embassy Moscow	RUSSIA:  MOVING BEYOND BILATERAL ISSUES, MILIBAND 
09REYKJAVIK101	2009	2011	CONFIDENTIAL	Embassy Reykjavik	Iceland: Tough Times Ahead: Minister of Finance Paints 
08RIGA496	2008	2010	SECRET//NOFORN	Embassy Riga	TFGG01: WHAT GEORGIA MEANS TO LATVIA
08BEIJING661	2008	2010	SECRET	Embassy Beijing	Prospects for U.S.-China Relations 
10TRIPOLI91	2010	2011	SECRET//NOFORN	Embassy Tripoli	SWISS SCORE IN LIBYA: HAMDANI CLEARED OF IMMIGRATION CHARGES REF: A) TRIPOLI 73; B) TRIPOLI 58 
09ACCRA1179	2009	2010	CONFIDENTIAL	Embassy Accra	GHANAIAN CONCERN OVER DRUG SMUGGLING BY VIP 
09TRIPOLI590	2009	2011	SECRET//NOFORN	Embassy Tripoli	THE CAST OF THE JAMAHIRIYA: BACKGROUND INFORMATION FOR NEA AA/S FELTMAN'S VISIT TO TRIPOLI REF: A) 08 TRIPOLI 960; B) O8 TRIPOLI 993 TRIPOLI 00000590 001.2 OF 003 CLASSIFIED BY: Joan Polaschik, Charge d'Affaires, U.S. Embassy Tripoli, Department of State. REASON: 1.4 (b), (d)
08LONDON1586	2008	2011	SECRET//NOFORN	Embassy London	U/S JEFFERY AND A/S O?BRIEN PRESS UK ON IRANIAN 
09ISLAMABAD2523	2009	2010	SECRET	Embassy Islamabad	TERRORISTS INCREASE ACTIVITY IN ADVANCE OF 
72TEHRAN1164	1972	2010	UNCLASSIFIED	Embassy Tehran	ACCELERATION OF F-4ES FOR IRAN 
09ABUJA1907	2009	2010	CONFIDENTIAL//NOFORN	Embassy Abuja	(C) SHELL MD DISCUSSES THE STATUS OF THE PROPOSED PETROLEUM 
09TRIPOLI242	2009	2011	CONFIDENTIAL	Embassy Tripoli	x
10BAMAKO52	2010	2010	SECRET	Embassy Bamako	KIDNAPPING AND LIBERATION OF KOUNTA LEADER 
07THEHAGUE655	2007	2011	CONFIDENTIAL	Embassy The Hague	NETHERLANDS/AFGHANISTAN/JSF: NEW DEFENSE MINISTER 
07STOCKHOLM506	2007	2010	SECRET	Embassy Stockholm	SWEDEN:  SCENE-SETTER FOR PRIME MINISTER
10TRIPOLI137	2010	2011	CONFIDENTIAL	Embassy Tripoli	MEETING OF LIBYAN, ITALIAN AND MALTESE FOREIGN MINISTERS LIKELY TO LEAD TO RESOLUTION OF SCHENGEN VISA CRISIS
09ACCRA131	2009	2010	CONFIDENTIAL	Embassy Accra	ACCRA RESPONSE: ASSESSMENT ON THE NEED FOR LAW 
09BRASILIA1435	2009	2011	CONFIDENTIAL	Embassy Brasilia	Strategy for Engaging Brazil on Defamation of Religions 
08STATE107438	2008	2010	CONFIDENTIAL	Secretary of State	DEMARCHE REQUEST: REPLACEMENT OF SRSG GAMBARI FOR 
08MOSCOW1713	2008	2011	CONFIDENTIAL	Embassy Moscow	TNK-BP UPDATE: NO RESOLUTION IN SIGHT AS DEADLINE 
09REYKJAVIK104	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELANDIC PRIORITIES REVEALED FOR INTERNATIONAL WHALING 
09REYKJAVIK213	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	READOUT FROM THE ICELANDIC PARTICIPANT AT E-PINE MEETING 
09BRASILIA1300	2009	2010	CONFIDENTIAL	Embassy Brasilia	BRAZIL ON AHMADINEJAD, IRAN'S NUCLEAR PROGRAM, AND VISAS 
10STOCKHOLM62	2010	2011	UNCLASSIFIED	Embassy Stockholm	SWEDEN RECEIVES U.S.-EU SECOND STAGE AIR TRANSPORT 
04THEHAGUE2793	2004	2011	CONFIDENTIAL	Embassy The Hague	ICTY - TRIBUNAL OFFICIALS HIGHLIGHT CONCERNS ABOUT 
06REYKJAVIK119	2006	2011	CONFIDENTIAL	Embassy Reykjavik	ICELAND:  COAST GUARD DIRECTOR SHUT OUT OF 
10BUENOSAIRES95	2010	2010	CONFIDENTIAL//NOFORN	Embassy Buenos Aires	Falklands/Malvinas: GoA Requires Permission for Ships to
06REYKJAVIK452	2006	2011	UNCLASSIFIED	Embassy Reykjavik	ICELAND:  2006 COUNTRY REPORTS ON TERRORISM 
08TRIPOLI506	2008	2011	CONFIDENTIAL	Embassy Tripoli	FATHI EL-JAHMI'S SON ASKS EMBASSY TO STOP VISITING HIM 
06REYKJAVIK134	2006	2011	UNCLASSIFIED	Embassy Reykjavik	INTERNATIONAL MEDIA CONTINUES TO DISSECT ICELANDIC 
09SANSALVADOR708	2009	2010	SECRET//NOFORN	Embassy San Salvador	EARLY IMPRESSIONS OF FUNES GOVERNMENT 
09BRASILIA201	2009	2011	CONFIDENTIAL	Embassy Brasilia	KEY BRAZILIAN NUCLEAR OFFICIAL DISCUSSES POSSIBLE WAY 
09BRASILIA391	2009	2011	CONFIDENTIAL	Embassy Brasilia	BRAZIL: GAZA PLEDGE, ARAB SOUTH AMERICAN SUMMIT: 
06REYKJAVIK50	2006	2011	UNCLASSIFIED	Embassy Reykjavik	ICELAND IN NO RUSH TO ASSIST NEW PALESTINIAN 
08STATE90980	2008	2010	CONFIDENTIAL	Secretary of State	GEORGIA: REBUTTING SPURIOUS RUSSIAN CLAIMS 
09BRASILIA28	2009	2010	CONFIDENTIAL	Embassy Brasilia	WORKING WITH BRAZIL ON CLIMATE CHANGE - AN OPPORTUNITY 
09LONDON2723	2009	2011	CONFIDENTIAL//NOFORN	Embassy London	AFRICA: NEW AFRICA MINISTER FOCUS ON TRADITIONAL 
06BRASILIA1934	2006	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Brasilia	ETHANOL FORUM - PREPARATORY MEETING OUTCOMES 
09VATICAN113	2009	2010	CONFIDENTIAL	Embassy Vatican	THE VATICAN AND THE ANGLICANS:  OPPORTUNITY OR OPPORTUNISM? 
07THEHAGUE1994	2007	2011	CONFIDENTIAL	Embassy The Hague	NETHERLANDS/RUSSIA: MINISTER TIMMERMANS REGRETS
08TBILISI1341	2008	2011	CONFIDENTIAL	Embassy Tbilisi	GEORGIA: SOUTH OSSETIA SITREP 2:  GEORGIA CLAIMS
09REYKJAVIK100	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELAND:  NO MI-17 HELICOPTERS 
08LONDON2179	2008	2011	CONFIDENTIAL	Embassy London	HMG'S ENDORSEMENT OF THE DESIGNATION OF ADDITIONAL IRANIAN ENTITIES AND INDIVIDUALS UNDER E.O. 13382 REF: STATE 88759 
09CONAKRY837	2009	2010	SECRET	Embassy Conakry	LIBYAN LEADER MEETS WITH GUINEAN PRESIDENT 
09UNVIEVIENNA553	2009	2010	CONFIDENTIAL	UNVIE	AUSTRIAN AMBASSADOR TO IRAN DESCRIBES ELECTIONS AS 
09TRIPOLI773	2009	2011	UNCLASSIFIED	Embassy Tripoli	FRAUD SUMMARY - TRIPOLI - SEPTEMBER 2009 REF: 08 STATE 74840 TRIPOLI 00000773 001.2 OF 003 1.The following responses are keyed to reftel.
09KABUL1874	2009	2010	CONFIDENTIAL	Embassy Kabul	KARZAI?S JULY 12 ELECTION MEETING 
09RABAT988	2009	2010	SECRET//NOFORN	Embassy Rabat	GUINEA: UPDATE ON DADIS CAMARA'S HEALTH 
09LONDON2484	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy London	SUDAN: UK HOME OFFICE GRANTS NON-ARAB DARFURIS 
09SAOPAULO619	2009	2010	CONFIDENTIAL	Consulate Sao Paulo	Sao Paulo Opinion Split on Honduras REF: BRASILIA 1210; (08) SAO PAULO 497 SAO PAULO 00000619 001.5 OF 002 CLASSIFIED BY: David C. Brooks, State, State, POL; REASON: 1.4(D) 
09REYKJAVIK73	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELAND: THE SOCIAL DEMOCRATIC ALLIANCE -- AN OVERVIEW 
07TOKYO5492	2007	2011	CONFIDENTIAL	Embassy Tokyo	x
10MADRID70	2010	2010	UNCLASSIFIED	Embassy Madrid	MADRID ECONOMIC WEEKLY, JANUARY 18-22
04BRASILIA1954	2004	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Brasilia	x
09MOSCOW367	2009	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Moscow	GAZPROM FACING TOUGH FINANCIAL TIMES AHEAD
09LAPAZ1784	2009	2010	UNCLASSIFIED	Embassy La Paz	BOLIVIA: COUNTER-NARCOTICS NEWS AND TRENDS 
10SANTIAGO25	2010	2010	CONFIDENTIAL	Embassy Santiago	Meet Chile's President-Elect, Sebastian Pinera
08REYKJAVIK44	2008	2011	UNCLASSIFIED	Embassy Reykjavik	HAGUE ADOPTION LETTER DELIVERED TO GOVERNMENT OF ICELAND 
08LONDON2683	2008	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy London	HMG ACKNOWLEDGES UK ECONOMY ENTERING RECESSION LONDON 00002683 001.2 OF 002
10PRISTINA48	2010	2010	CONFIDENTIAL	Embassy Pristina	KOSOVO: STRATEGY FOR NORTHERN KOSOVO AN IMPORTANT 
07ABIDJAN831	2007	2011	CONFIDENTIAL	Embassy Abidjan	COTE D'IVOIRE LIGHTS FLAME OF PEACE 
10ABUDHABI9	2010	2011	SECRET//NOFORN	Embassy Abu Dhabi	x
05BRASILIA606	2005	2010	CONFIDENTIAL	Embassy Brasilia	BRAZILIAN GOVERNMENT REQUESTS FEDERALIZATION OF NUN'S MURDER CASE 
08TRIPOLI515	2008	2011	SECRET//NOFORN	Embassy Tripoli	LIBYAN LEADER AUTHOR OF HARD LINE ON DETAINED HUMAN RIGHTS 
08TRIPOLI592	2008	2011	CONFIDENTIAL	Embassy Tripoli	THUG LIFE: HANNIBAL AL-QADHAFI'S ARREST PROMPTS FISSURE IN 
07PORTAUPRINCE408	2007	2010	SECRET	Embassy Port Au Prince	RESPONSE TO INR/B REQUIREMENTS ON PRESIDENT PREVAL 
04THEHAGUE2735	2004	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy The Hague	CAUTIOUS DUTCH REACTION TO EC REPORT ON TURKEY 
06REYKJAVIK162	2006	2011	UNCLASSIFIED//FOR OFFICIAL USE ONLY	Embassy Reykjavik	ICELAND/HUMAN RIGHTS: SKEPTICAL OF IRAN, BUT 
08MOSCOW1964	2008	2011	CONFIDENTIAL	Embassy Moscow	x
